Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2001.7.19,3330,3540,3310,3540,2746.321533,37325000,,
2001.7.20,3520,3600,3470,3520,2730.805908,29625000,,
2001.7.23,3500,3500,3430,3460,2684.258545,21275000,3506.666667,
2001.7.24,3400,3510,3400,3470,2692.016113,21480000,3483.333333,
2001.7.25,3460,3590,3440,3570,2769.595459,20905000,3500,3512
2001.7.26,3590,3650,3590,3630,2816.143555,21865000,3556.666667,3530
2001.7.27,3730,3790,3690,3710,2878.206787,28800000,3636.666667,3568
2001.7.30,3760,3780,3690,3710,2878.206787,20055000,3683.333333,3618
2001.7.31,3740,3810,3720,3790,2940.270752,22230000,3736.666667,3682
2001.8.1,3830,3990,3810,3960,3072.156738,57875000,3820,3760
2001.8.2,4020,4040,3880,3910,3033.366699,31790000,3886.666667,3816
2001.8.3,4000,4020,3950,3990,3095.429688,32795000,3953.333333,3872
2001.8.6,3930,4000,3900,3980,3087.672852,16130000,3960,3926
2001.8.7,3880,3900,3810,3860,2994.577148,22085000,3943.333333,3940
2001.8.8,3820,3840,3740,3800,2948.029053,13405000,3880,3908
2001.8.9,3690,3730,3660,3660,2839.418213,29170000,3773.333333,3858
2001.8.10,3710,3780,3710,3730,2893.7229,11580000,3730,3806
2001.8.13,3770,3830,3750,3830,2971.302979,18640000,3740,3776
2001.8.14,3900,3960,3870,3950,3064.398438,21220000,3836.666667,3794
2001.8.15,3950,3950,3950,3950,3064.398438,0,3910,3824
2001.8.16,3840,3900,3820,3900,3025.609131,18330000,3933.333333,3872
2001.8.17,3900,3960,3870,3920,3041.124512,17745000,3923.333333,3910
2001.8.20,3800,3830,3780,3800,2948.029053,9435000,3873.333333,3904
2001.8.21,3820,3850,3700,3720,2885.96582,21735000,3813.333333,3858
2001.8.22,3630,3850,3630,3850,2986.818848,21770000,3790,3838
2001.8.23,3870,3910,3800,3850,2986.818848,14945000,3806.666667,3828
2001.8.24,3840,3880,3780,3840,2979.060547,7515000,3846.666667,3812
2001.8.27,3960,4020,3920,3980,3087.672852,37955000,3890,3848
2001.8.28,4000,4000,3930,3940,3056.640869,20535000,3920,3892
2001.8.29,3900,3970,3860,3930,3048.882568,19135000,3950,3908
2001.8.30,3840,3940,3840,3920,3041.124512,12585000,3930,3922
2001.8.31,3860,3880,3750,3800,2948.029053,25845000,3883.333333,3914
2001.9.3,3810,3820,3750,3760,2916.99707,10450000,3826.666667,3870
