Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2010.6.30,5.158,6.084,4.66,4.766,4.766,85935500,,
2010.7.1,5,5.184,4.054,4.392,4.392,41094000,,
2010.7.2,4.6,4.62,3.742,3.84,3.84,25699000,4.332666667,
2010.7.6,4,4,3.166,3.222,3.222,34334500,3.818,
2010.7.7,3.28,3.326,2.996,3.16,3.16,34608500,3.407333333,3.876
2010.7.8,3.228,3.504,3.114,3.492,3.492,38557000,3.291333333,3.6212
2010.7.9,3.516,3.58,3.31,3.48,3.48,20253000,3.377333333,3.4388
2010.7.12,3.59,3.614,3.4,3.41,3.41,11012500,3.460666667,3.3528
2010.7.13,3.478,3.728,3.38,3.628,3.628,13400500,3.506,3.434
2010.7.14,3.588,4.03,3.552,3.968,3.968,20976000,3.668666667,3.5956
2010.7.15,3.988,4.3,3.8,3.978,3.978,18699000,3.858,3.6928
2010.7.16,4.14,4.26,4.01,4.128,4.128,13106500,4.024666667,3.8224
2010.7.19,4.274,4.45,4.184,4.382,4.382,12432500,4.162666667,4.0168
2010.7.20,4.37,4.37,4.01,4.06,4.06,9126500,4.19,4.1032
2010.7.21,4.132,4.18,3.9,4.044,4.044,6262500,4.162,4.1184
2010.7.22,4.1,4.25,4.074,4.2,4.2,4789000,4.101333333,4.1628
2010.7.23,4.238,4.312,4.212,4.258,4.258,3268000,4.167333333,4.1888
2010.7.26,4.3,4.3,4.06,4.19,4.19,4611000,4.216,4.1504
2010.7.27,4.182,4.236,4.052,4.11,4.11,3098500,4.186,4.1604
2010.7.28,4.11,4.18,4.102,4.144,4.144,2336000,4.148,4.1804
2010.7.29,4.154,4.176,4,4.07,4.07,3080000,4.108,4.1544
2010.7.30,4.04,4.088,3.91,3.988,3.988,2134500,4.067333333,4.1004
2010.8.2,4.1,4.194,4.066,4.184,4.184,3590500,4.080666667,4.0992
2010.8.3,4.2,4.39,4.164,4.39,4.39,6152500,4.187333333,4.1552
2010.8.4,4.39,4.436,4.17,4.252,4.252,4565000,4.275333333,4.1768
2010.8.5,4.308,4.31,4.01,4.09,4.09,3981000,4.244,4.1808
2010.8.6,4.02,4.032,3.904,3.918,3.918,3709500,4.086666667,4.1668
2010.8.9,3.98,3.996,3.89,3.92,3.92,4063500,3.976,4.114
2010.8.10,3.93,3.93,3.764,3.806,3.806,6406500,3.881333333,3.9972
2010.8.11,3.738,3.776,3.57,3.58,3.58,3988000,3.768666667,3.8628
2010.8.12,3.56,3.58,3.478,3.52,3.52,3455000,3.635333333,3.7488
2010.8.13,3.636,3.69,3.532,3.664,3.664,3170000,3.588,3.698
2010.8.16,3.69,3.76,3.652,3.756,3.756,2429000,3.646666667,3.6652
2010.8.17,3.792,3.88,3.756,3.83,3.83,2239500,3.75,3.67
2010.8.18,3.918,3.918,3.72,3.754,3.754,3006500,3.78,3.7048
2010.8.19,3.708,3.85,3.666,3.758,3.758,2895500,3.780666667,3.7524
2010.8.20,3.73,3.822,3.702,3.82,3.82,1480000,3.777333333,3.7836
2010.8.23,3.818,4.078,3.8,4.026,4.026,5440500,3.868,3.8376
2010.8.24,3.85,3.942,3.79,3.84,3.84,3365500,3.895333333,3.8396
2010.8.25,3.832,3.996,3.712,3.98,3.98,2516500,3.948666667,3.8848
2010.8.26,3.978,4.054,3.92,3.95,3.95,2169000,3.923333333,3.9232
2010.8.27,3.95,3.974,3.9,3.94,3.94,1898000,3.956666667,3.9472
2010.8.30,3.94,4.038,3.922,3.974,3.974,3664000,3.954666667,3.9368
2010.8.31,3.932,3.958,3.866,3.896,3.896,1005500,3.936666667,3.948
2010.9.1,3.924,4.138,3.92,4.09,4.09,2474500,3.986666667,3.97
2010.9.2,4.074,4.248,4.062,4.212,4.212,2435500,4.066,4.0224
2010.9.3,4.174,4.26,4.132,4.21,4.21,2173000,4.170666667,4.0764
2010.9.7,4.122,4.2,4.1,4.108,4.108,1217000,4.176666667,4.1032
2010.9.8,4.132,4.19,4.12,4.18,4.18,1442000,4.166,4.16
2010.9.9,4.2,4.21,4.138,4.142,4.142,1881000,4.143333333,4.1704
2010.9.10,4.15,4.186,3.952,4.034,4.034,1933000,4.118666667,4.1348
2010.9.13,4.178,4.18,4.1,4.144,4.144,1804000,4.106666667,4.1216
2010.9.14,4.108,4.32,4.106,4.224,4.224,3273500,4.134,4.1448
2010.9.15,4.196,4.4,4.158,4.396,4.396,3423000,4.254666667,4.188
2010.9.16,4.43,4.632,4.168,4.188,4.188,13422500,4.269333333,4.1972
2010.9.17,4.204,4.264,3.96,4.046,4.046,5992500,4.21,4.1996
2010.9.20,4.134,4.27,4.032,4.212,4.212,4737500,4.148666667,4.2132
2010.9.21,4.178,4.31,4.134,4.154,4.154,3980000,4.137333333,4.1992
2010.9.22,4.174,4.19,3.96,3.974,3.974,4814500,4.113333333,4.1148
2010.9.23,3.978,4.028,3.9,3.912,3.912,3340500,4.013333333,4.0596
2010.9.24,3.99,4.038,3.93,4.02,4.02,2894500,3.968666667,4.0544
2010.9.27,4.08,4.162,4.01,4.106,4.106,2093000,4.012666667,4.0332
2010.9.28,4.208,4.298,4.152,4.28,4.28,6072500,4.135333333,4.0584
2010.9.29,4.238,4.406,4.226,4.396,4.396,9846500,4.260666667,4.1428
